Name	sample	TCGA-FA-8693-01	TCGA-FA-A4BB-01	TCGA-FA-A4XK-01	TCGA-FA-A6HN-01	TCGA-FA-A6HO-01	TCGA-FA-A7DS-01	TCGA-FA-A7Q1-01	TCGA-FA-A82F-01	TCGA-FA-A86F-01	TCGA-FF-8041-01	TCGA-FF-8042-01	TCGA-FF-8043-01	TCGA-FF-8046-01	TCGA-FF-8047-01	TCGA-FF-8061-01	TCGA-FF-8062-01	TCGA-FF-A7CQ-01	TCGA-FF-A7CR-01	TCGA-FF-A7CW-01	TCGA-FF-A7CX-01	TCGA-G8-6324-01	TCGA-G8-6325-01	TCGA-G8-6326-01	TCGA-G8-6906-01	TCGA-G8-6907-01	TCGA-G8-6909-01	TCGA-G8-6914-01	TCGA-GR-7351-01	TCGA-GR-7353-01	TCGA-GR-A4D4-01	TCGA-GR-A4D5-01	TCGA-GR-A4D6-01	TCGA-GR-A4D9-01	TCGA-GS-A9TQ-01	TCGA-GS-A9TT-01	TCGA-GS-A9TU-01	TCGA-GS-A9TV-01	TCGA-GS-A9TW-01	TCGA-GS-A9TX-01	TCGA-GS-A9TY-01	TCGA-GS-A9TZ-01	TCGA-GS-A9U3-01	TCGA-GS-A9U4-01	TCGA-RQ-A68N-01	TCGA-RQ-A6JB-01	TCGA-RQ-AAAT-01	TCGA-VB-A8QN-01
IDO1-209	ENST00000523779.1	4.677	2.9857	0.1648	2.7993	4.4919	4.943	-0.8084	3.4264	4.4067	3.4674	2.9857	0.1776	3.3689	1.1447	0.4552	3.1781	5.2457	5.1839	2.9224	-2.114	1.2516	5.0519	7.8595	2.7379	-0.8084	3.4856	4.0532	2.9375	2.3366	-0.4325	4.6804	0.0718	2.7444	1.0363	-9.9658	2.4198	5.7002	6.1524	2.0004	-2.6349	3.623	4.0109	6.8616	3.838	3.3938	-1.685	2.9525
IL10-201	ENST00000367099.3	-9.9658	-2.1779	-0.9406	-3.3076	-1.9379	0.044	-9.9658	-9.9658	-3.3076	-9.9658	-4.035	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	2.036	1.4494	-4.035	-1.7322	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	0.3346	-9.9658	0.5568	-9.9658	-1.2828	-9.9658	-3.816	-9.9658	0.0014	-0.9406	-2.8262	-0.5973	-9.9658	-9.9658	-9.9658
IL10-202	ENST00000423557.1	2.5388	1.8524	3.8551	1.4174	2.6161	6.387	-1.0559	2.1114	2.7029	1.3397	1.9264	-0.1345	-1.2142	0.4125	-0.0877	2.108	6.5494	5.6879	2.4198	1.9226	-1.2828	2.5338	3.3605	1.7446	-3.816	1.766	1.3735	0.099	-1.1172	2.043	2.609	2.2421	5.1227	0.0854	5.904	2.2783	4.1716	4.001	1.5998	3.6994	3.945	3.9099	4.1228	4.366	2.108	1.3109	1.4756
IL10-203	ENST00000471071.1	-0.2671	-1.5105	-0.7588	-0.9132	0.4552	0.4552	-2.4659	-0.7346	0.4125	-1.7322	-9.9658	-9.9658	-1.8836	-9.9658	-1.2828	-1.1811	1.614	2.4544	-9.9658	-5.0116	-2.3884	-2.4659	-3.6259	-2.9324	-9.9658	-9.9658	-1.2142	-2.0529	-9.9658	-0.9132	-0.3201	-3.3076	0.9716	-1.2142	2.0946	0.044	2.3871	1.7009	-9.9658	-2.114	2.9013	1.3225	0.8883	-1.685	0.9642	-9.9658	-1.0559
LGALS3-201	ENST00000254301.13	7.6947	7.2831	8.599	7.1511	7.5359	7.0274	6.56	7.0553	6.8226	5.7214	6.8416	5.7323	6.1583	5.1946	6.7944	6.0315	6.5729	7.1716	6.474	7.0308	4.347	7.5233	7.0099	6.4201	6.7203	6.0549	7.6357	6.0308	5.9033	6.4858	8.0099	5.6773	7.5253	6.386	5.4614	7.4808	8.0212	7.394	5.6436	7.2356	7.3628	7.1883	7.4077	7.3544	9.1907	6.2698	7.0324
LGALS3-202	ENST00000553493.5	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658
LGALS3-203	ENST00000553755.5	2.3788	0.3573	5.6736	2.6984	4.783	2.0254	2.7508	3.186	4.314	1.4859	2.3843	0.4125	0.5271	-0.5332	2.4439	0.0718	3.8471	4.0287	1.3454	4.1994	-0.0574	1.6466	-1.5951	-9.9658	0.044	-1.3548	2.0569	0.5859	-9.9658	2.9802	5.31	-0.8084	4.1103	3.287	2.4359	4.7682	5.6654	4.4938	2.5338	-0.5756	4.2929	2.4144	4.3667	2.6208	6.1741	-3.6259	3.3745
LGALS3-204	ENST00000554715.1	-4.035	-9.9658	0.03	-0.9132	-1.685	-9.9658	-3.0469	-3.0469	-1.4699	-9.9658	-2.7274	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-2.9324	-3.458	-1.3183	-9.9658	-4.035	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-1.1172	-4.2934	-1.3921	-1.5105	-1.5951	-2.3884	-0.0574	-1.3921	-1.9942	-9.9658	-0.8084	-1.685	-2.7274	-9.9658	-0.2159	-9.9658	-2.3147
LGALS3-205	ENST00000556263.1	-1.6394	-1.7809	0.0854	-1.6394	-1.7322	-2.3884	-9.9658	-9.9658	-9.9658	-2.6349	-9.9658	-9.9658	-9.9658	-9.9658	0.099	-9.9658	-9.9658	-9.9658	-9.9658	-2.2447	-1.5951	-2.9324	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-2.7274	-2.4659	-0.8339	-1.8836	-0.9971	-1.4699	-3.0469	-9.9658	-9.9658	-1.5522	-9.9658	-9.9658	-9.9658	-1.685	-9.9658	-1.2828	0.03	-9.9658	-1.8314
LGALS3-206	ENST00000556322.1	-2.4659	-9.9658	-2.0529	-1.685	-2.7274	-9.9658	-9.9658	-1.685	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-2.5479	-2.7274	-3.0469	-2.7274	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-1.5951	-9.9658	-9.9658	-9.9658	-9.9658	-3.6259	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-2.6349	-9.9658	-9.9658	-9.9658	-1.7322	-2.2447	-9.9658	-1.3183	-9.9658	-9.9658
