transcript_id	gene_id	TCGA-3X-AAVB-01	TCGA-W5-AA2W-01	TCGA-WD-A7RX-01	TCGA-W5-AA2H-01	TCGA-W5-AA2U-01	TCGA-W5-AA2T-01	TCGA-W5-AA2O-01	TCGA-W5-AA34-11	TCGA-W5-AA36-01	TCGA-W5-AA2I-01	TCGA-ZU-A8S4-11	TCGA-3X-AAVE-01	TCGA-ZH-A8Y6-01	TCGA-W5-AA33-01	TCGA-W5-AA2X-01	TCGA-W5-AA38-01	TCGA-W5-AA2U-11	TCGA-4G-AAZT-01	TCGA-YR-A95A-01	TCGA-W5-AA31-01	TCGA-ZH-A8Y1-01	TCGA-ZH-A8Y2-01	TCGA-W5-AA2X-11	TCGA-W5-AA39-01	TCGA-W5-AA2Z-01	TCGA-3X-AAVA-01	TCGA-W5-AA2R-11	TCGA-ZH-A8Y8-01	TCGA-ZD-A8I3-01	TCGA-W5-AA2R-01	TCGA-W5-AA34-01	TCGA-3X-AAV9-01	TCGA-W5-AA2I-11	TCGA-ZU-A8S4-01	TCGA-W5-AA31-11	TCGA-W5-AA30-01	TCGA-ZH-A8Y4-01	TCGA-W5-AA2G-01	TCGA-W5-AA2Q-11	TCGA-ZH-A8Y5-01	TCGA-W5-AA30-11	TCGA-W6-AA0S-01	TCGA-W5-AA2Q-01	TCGA-3X-AAVC-01	TCGA-4G-AAZO-01
ENST00000523779	IDO1-209	-1.6394	0.547	2.2633	3.9617	-0.3383	-2.8262	-4.6082	-3.3076	-9.9658	-1.685	-2.9324	3.7083	-9.9658	-1.3548	-3.0469	-9.9658	-9.9658	-0.6643	-2.0529	0.1519	-2.9324	-4.6082	-2.0529	-9.9658	1.0363	-1.1172	-2.3884	0.8408	-9.9658	2.5658	-9.9658	1.1447	-5.5735	2.4465	-1.7322	-0.2845	-4.035	-1.685	-6.5064	-9.9658	-1.8836	-0.1345	-9.9658	2.9148	0.2154
ENST00000367099	IL10-201	-9.9658	-9.9658	-9.9658	-4.035	-3.6259	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-4.035	-9.9658	-2.6349	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658
ENST00000423557	IL10-202	-1.3548	-3.3076	-2.5479	-0.1665	-1.0262	-4.6082	-2.6349	-3.1714	-3.3076	-4.035	-0.2671	-1.8314	-4.6082	-0.9971	-5.5735	-2.2447	-2.0529	-6.5064	-9.9658	-2.2447	-3.1714	-5.5735	-2.3884	-5.0116	-4.035	-3.0469	0.3573	-1.4699	-3.6259	-2.0529	-5.5735	-2.3147	-5.0116	-0.5756	-0.5543	-2.5479	-3.6259	-2.9324	-2.9324	-4.6082	-4.035	-0.9971	-3.458	-1.5105	-9.9658
ENST00000471071	IL10-203	-9.9658	-1.7322	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-2.9324	-6.5064	-9.9658	-0.6643	-0.9132	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-1.0262	-9.9658	-9.9658	-9.9658	-9.9658	-3.0469	-9.9658	0.5763	-1.9379	-1.7322	-9.9658	-9.9658	-3.1714	-9.9658	-1.1488	-0.7346	-9.9658	-3.0469	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658
ENST00000254301	LGALS3-201	8.8714	6.2961	7.7333	5.3009	7.4825	7.1528	6.8434	3.154	5.4172	6.8637	2.5658	7.0677	8.732	8.1385	8.6595	8.4035	4.4183	6.6496	7.1173	7.0734	7.9376	6.9516	4.0909	7.5241	7.8477	6.7737	2.6895	7.6044	8.047	5.8637	6.8813	8.4193	2.2299	7.4573	2.362	6.5635	6.4512	7.7361	4.2803	10.339	3.6657	7.4504	7.9474	8.1576	5.6952
ENST00000553493	LGALS3-202	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658
ENST00000553755	LGALS3-203	6.2538	3.6905	4.0383	0.6425	5.2555	4.6668	2.9507	0.5568	1.736	-0.1665	-0.4325	5.0798	6.2915	6.2003	5.6494	5.5205	-9.9658	-2.4659	3.6089	4.0807	5.1322	4.9547	1.5902	3.2752	5.044	2.5437	-0.4325	3.8218	5.774	4.0532	2.59	5.7099	-9.9658	4.9031	-1.0862	2.2019	4.215	5.5525	0.4552	7.012	-0.2498	4.7005	5.3424	5.5681	2.7805
ENST00000554715	LGALS3-204	-1.685	0.044	-1.0559	-9.9658	-1.7322	-1.0262	-0.4131	-9.9658	-9.9658	-3.458	-9.9658	-1.4305	1.3283	1.934	1.4228	-2.8262	-9.9658	-9.9658	-1.5522	-1.4305	0.4125	-9.9658	-2.8262	-9.9658	-1.5105	-2.6349	-9.9658	-1.3548	-1.5105	-2.6349	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-0.8863	-2.7274	-1.4305	-2.5479	2.3843	-9.9658	-1.3183	0.3231	-0.5332	-2.1779
ENST00000556263	LGALS3-205	-2.114	-1.7809	-9.9658	-9.9658	-2.1779	-1.0262	-1.4305	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-1.0262	-0.1031	-1.2481	-2.0529	-9.9658	-9.9658	-0.8599	-1.4305	-1.4699	-9.9658	-9.9658	-9.9658	-0.5973	-9.9658	-9.9658	-0.9971	-9.9658	-9.9658	-9.9658	-2.2447	-9.9658	-9.9658	-9.9658	-9.9658	-1.0862	-1.8314	-9.9658	0.7146	-9.9658	-0.5543	-0.4719	-1.7322	-9.9658
ENST00000556322	LGALS3-206	-2.2447	-9.9658	-9.9658	-9.9658	-2.3147	-9.9658	-2.6349	-9.9658	-9.9658	-1.9942	-9.9658	-2.0529	-1.9942	-9.9658	-2.3147	-9.9658	-9.9658	-9.9658	-2.6349	-2.5479	-0.5756	-9.9658	-9.9658	-0.5973	-2.1779	-2.1779	-9.9658	-2.7274	-1.9379	-9.9658	-9.9658	-0.7588	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-1.0262	-9.9658	-1.7809	-9.9658	-2.5479	-9.9658	-1.8836	-9.9658
